"EC","total_genes","present_genes","percent"
"2.7.1.150",1,1,100
"3.1.1.13",1,1,100
"3.1.6.12",1,1,100
"3.2.1.20",1,1,100
"3.2.1.22",1,1,100
"3.2.1.49",1,1,100
"3.4.23.5",1,1,100
"7.1.2.2",1,1,100
"1.8.3.7",1,0,0
"2.3.1.78",1,0,0
"2.7.8.17",1,0,0
"3.1.2.22",1,0,0
"3.1.4.12",1,0,0
"3.1.6.13",1,0,0
"3.1.6.14",1,0,0
"3.1.6.4",1,0,0
"3.1.6.8",1,0,0
"3.10.1.1",1,0,0
"3.2.1.18",1,0,0
"3.2.1.23",1,0,0
"3.2.1.24",1,0,0
"3.2.1.25",1,0,0
"3.2.1.31",1,0,0
"3.2.1.35",1,0,0
"3.2.1.46",1,0,0
"3.2.1.50",1,0,0
"3.2.1.51",1,0,0
"3.2.1.52",2,0,0
"3.2.1.76",1,0,0
"3.4.14.1",1,0,0
"3.4.14.9",1,0,0
"3.4.16.5",1,0,0
"3.4.22.1",1,0,0
"3.4.22.38",1,0,0
"3.4.22.41",1,0,0
"3.5.1.23",1,0,0
"3.5.1.26",1,0,0
