"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"11","FOXO3, AF6q21, FKHRL1, FKHRL1P2, FOXO2, FOXO3A","rectangle",733,347,46,17,NA,NA
"12","CASP9, APAF-3, APAF3, ICE-LAP6, MCH6, PPP1R56","rectangle",733,325,46,17,NA,NA
"13","BAD, BBC2, BCL2L8","rectangle",733,301,46,17,NA,NA
"133","PI3K-Akt signaling pathway","roundrectangle",818,588,104,34,NA,NA
"138","ALK, ALK1, CD246, NBLST3...","rectangle",419,660,46,17,NA,NA
"14","AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2...","rectangle",646,325,46,17,"hsa:208",0
"141","Ras signaling pathway","roundrectangle",380,259,104,34,NA,NA
"143","JAK3, JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK","rectangle",561,618,46,17,NA,NA
"144","STAT3, ADMIO, ADMIO1, APRF, HIES...","rectangle",659,618,46,17,NA,NA
"148","TP53, BCC7, BMFS5, LFS1, P53, TRP53","rectangle",986,492,46,17,NA,NA
"15","PDPK1, PDK1, PDPK2, PDPK2P, PRO0461","rectangle",602,347,46,17,NA,NA
"154","CDKN1A, CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1","rectangle",1116,471,46,17,NA,NA
"155","GADD45G, CR6, DDIT2, GADD45gamma, GRP17...","rectangle",1168,471,46,17,NA,NA
"156","BAX, BCL2L4","rectangle",1116,493,46,17,NA,NA
"157","BAK1, BAK, BAK-LIKE, BCL2L7, CDN1","rectangle",1168,493,46,17,NA,NA
"158","DDB2, DDBB, UV-DDB2, XPE","rectangle",1116,515,46,17,NA,NA
"159","POLK, DINB1, DINP, POLQ","rectangle",1168,515,46,17,NA,NA
"16","P3R3URF-PIK3R3, LOC110117498-PIK3R3...","rectangle",479,324,46,17,"hsa:5290;hsa:5293;hsa:5295;hsa:5296",0
"161","MET, AUTS9, DA11, DFNB97, HGFR, RCCP2, c-Met","rectangle",303,517,46,17,NA,NA
"162","HGF, DFNB39, F-TCF, HGFB, HPTA, SF","rectangle",218,517,46,17,NA,NA
"164","KIF5A, ALS25, D12S1889, MY050, NEIMY, NKHC, SPG10...","rectangle",482,611,46,17,"hsa:3798;hsa:3800",100
"165",NA,"rectangle",996,278,46,34,NA,NA
"166",NA,"rectangle",956,142,46,34,NA,NA
"167",NA,"rectangle",487,247,57,46,NA,NA
"17","CDK4, CMM3, PSK-J3...","rectangle",996,270,46,17,NA,NA
"18","CCND1, BCL1, D11S287E, PRAD1, U21B31","rectangle",596,262,46,17,NA,NA
"19","E2F1, E2F-1, RBAP1, RBBP3, RBP3...","rectangle",1079,317,46,17,NA,NA
"20","HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras...","rectangle",589,399,46,17,NA,NA
"21","PLCG1, IDAA, NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1...","rectangle",398,473,46,17,"hsa:5336",0
"22","TGFA, TFGA","rectangle",218,485,46,17,NA,NA
"23","EGFR, ERBB, ERBB1, ERRP, HER1, NISBD2, NNCIS, PIG61, mENA","rectangle",303,461,46,17,NA,NA
"24","FOXO3, AF6q21, FKHRL1, FKHRL1P2, FOXO2, FOXO3A","rectangle",722,576,46,17,NA,NA
"25","BAD, BBC2, BCL2L8","rectangle",722,530,46,17,NA,NA
"26","CASP9, APAF-3, APAF3, ICE-LAP6, MCH6, PPP1R56","rectangle",722,553,46,17,NA,NA
"27","STK4, KRS2, MST1, YSK3","rectangle",596,221,46,17,NA,NA
"28","CCND1, BCL1, D11S287E, PRAD1, U21B31","rectangle",996,287,46,17,NA,NA
"29","ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)","rectangle",303,486,46,17,NA,NA
"30","EGF, HOMG4, URG","rectangle",218,461,46,17,NA,NA
"31","RB1, OSRC, PPP1R130, RB, p105-Rb, p110-RB1, pRb, pp110","rectangle",1079,280,46,17,NA,NA
"32","RARB, HAP, MCOPS12, NR1B2, RARbeta, RARbeta1, RRB2","rectangle",956,134,46,17,NA,NA
"33","PDPK1, PDK1, PDPK2, PDPK2P, PRO0461","rectangle",591,575,46,17,NA,NA
"34","SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1...","rectangle",507,399,46,17,NA,NA
"35","GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2","rectangle",424,399,46,17,NA,NA
"37","RXRA, NR2B1, RXR-alpha, RXRalpha...","rectangle",956,151,46,17,NA,NA
"38","RASSF1, 123F2, NORE2A, RASSF1A, RDA32, REH3P21","rectangle",482,262,46,17,NA,NA
"39","RASSF5, Maxp1, NORE1, NORE1A, NORE1B, RAPL, RASSF3","rectangle",493,233,46,17,NA,NA
"40","CCND1, BCL1, D11S287E, PRAD1, U21B31","rectangle",986,399,46,17,NA,NA
"41","CDKN2A, ARF, CAI2, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16","rectangle",932,243,46,17,NA,NA
"42","AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2...","rectangle",635,553,46,17,"hsa:208",0
"43","PIK3CA, CCM4, CLAPO, CLOVE, CWS5, HMH, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha...","rectangle",451,553,46,17,"hsa:5290;hsa:5293",0
"44","FHIT, AP3Aase, FRA3B","rectangle",407,175,46,17,NA,NA
"45","TITLE:Non-small cell lung cancer","roundrectangle",170,58,260,25,NA,NA
"46","MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK...","rectangle",838,399,46,17,NA,NA
"47","MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1...","rectangle",754,399,46,17,NA,NA
"48","ARAF, A-RAF, ARAF1, PKS2, RAFA1...","rectangle",672,399,46,17,NA,NA
"49","KRAS, 'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras_2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2","rectangle",365,324,46,17,NA,NA
"5","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","rectangle",616,493,46,17,NA,NA
"52","Cell cycle","roundrectangle",1076,229,104,34,NA,NA
"53","p53 signaling pathway","roundrectangle",1076,564,104,34,NA,NA
"54","Cell cycle","roundrectangle",1076,609,104,34,NA,NA
"55","Calcium signaling pathway","roundrectangle",703,483,104,34,NA,NA
"56","MAPK signaling pathway","roundrectangle",781,433,104,34,NA,NA
"57","ErbB signaling pathway","roundrectangle",380,365,104,34,NA,NA
