"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"10","VCAM1, CD106, INCAM-100","rectangle",1026,724,46,17,NA,NA
"103","Focal adhesion","roundrectangle",407,484,119,25,NA,NA
"106","ICAM1, BB2, CD54, P3.58","rectangle",246,994,46,17,NA,NA
"107","VCAM1, CD106, INCAM-100","rectangle",246,1018,46,17,NA,NA
"108","SELE, CD62E, ELAM, ELAM1, ESEL, LECAM2, selectin-e","rectangle",246,1041,46,17,NA,NA
"11","ICAM1, BB2, CD54, P3.58","rectangle",1080,724,46,17,NA,NA
"110","NOS3, ECNOS, eNOS","rectangle",363,153,46,17,NA,NA
"112","TP53, BCC7, BMFS5, LFS1, P53, TRP53","rectangle",997,883,46,17,NA,NA
"113","SUMO4, IDDM5, SMT3H4, SUMO-4, dJ281H8.4...","rectangle",1046,915,46,17,NA,NA
"114","PIAS4, PIAS-gamma, PIASY, Piasg, ZMIZ6","rectangle",851,885,46,17,NA,NA
"117","PRKCZ, PKC-ZETA, PKC2","rectangle",626,911,46,17,NA,NA
"118","PIAS4, PIAS-gamma, PIASY, Piasg, ZMIZ6","rectangle",931,903,46,17,NA,NA
"12","FOS, AP-1, C-FOS, p55...","rectangle",876,779,46,17,NA,NA
"122","TP53, BCC7, BMFS5, LFS1, P53, TRP53","rectangle",997,969,46,17,NA,NA
"123","SUMO4, IDDM5, SMT3H4, SUMO-4, dJ281H8.4...","rectangle",1043,969,46,17,NA,NA
"125","BCL2, Bcl-2, PPP1R50","rectangle",729,968,46,17,NA,NA
"13","AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2...","rectangle",495,337,46,17,"hsa:208",100
"134","PRKAA1, AMPK, AMPK_alpha_1, AMPKa1...","rectangle",406,297,46,17,NA,NA
"137","NOS3, ECNOS, eNOS","rectangle",513,263,46,17,NA,NA
"139","MAP3K5, ASK1, MAPKKK5, MEKK5","rectangle",498,780,46,17,NA,NA
"14","PI3K-Akt signaling pathway","roundrectangle",597,335,109,34,NA,NA
"140","TNFRSF1A, CD120a, FPF, TBP1, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR55, TNFR60, p55, p55-R, p60","rectangle",246,751,46,17,NA,NA
"141","IL1R1, CD121A, CRMO3, D2S1473, IL-1R-alpha, IL-1RT1, IL1R, IL1RA, P80...","rectangle",246,774,46,17,NA,NA
"144","MAP3K7, CSCF, FMD2, MEKK7, TAK1, TGF1a","rectangle",498,721,46,17,NA,NA
"145","CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16...","rectangle",647,721,46,17,NA,NA
"146","NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB...","rectangle",876,721,46,17,NA,NA
"149","MIR10A, MIRN10A, hsa-mir-10a, miRNA10A, mir-10a...","rectangle",498,686,46,17,NA,NA
"15","MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c...","rectangle",760,757,46,17,NA,NA
"155","CAV1, BSCL3, CGL3, LCCNS, MSTP085, PPH3, VIP21, CAV...","rectangle",340,170,46,17,NA,NA
"156","CALML6, CAGLP...","rectangle",363,187,46,17,NA,NA
"157","HSP90AA1, EL52, HEL-S-65p, HSP86, HSP89A, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, Hsp103, Hsp89, Hsp90, LAP-2, LAP2...","rectangle",386,136,46,17,NA,NA
"159","Vascular smooth muscle contraction","roundrectangle",1007,149,109,34,NA,NA
"16","P3R3URF-PIK3R3, LOC110117498-PIK3R3...","rectangle",406,337,46,17,"hsa:5290;hsa:5293;hsa:5295;hsa:5296",100
"160","GPC1, glypican...","rectangle",246,229,46,17,NA,NA
