"EC","Gene","total_genes","present_genes","percent"
"2.3.1.4","GNPNAT1",1,1,100
"2.6.1.16","GFPT1",1,1,100
"2.7.1.1","HK1",1,1,100
"2.7.1.2","GCK",1,1,100
"2.7.7.12","GALT",1,1,100
"2.7.7.9","UGP2",1,1,100
"5.1.3.2","GALE",1,1,100
"5.3.1.8","MPI",1,1,100
"5.3.1.9","GPI",1,1,100
"5.4.2.2","PGM1",1,1,100
"5.4.2.3","PGM3",1,1,100
"5.4.2.8","PMM2",1,1,100
"2.7.7.13","GMPPA; GMPPB",2,1,50
"1.1.1.22","UGDH",1,0,0
"2.7.1.52","FCSK",1,0,0
"2.7.1.6","GALK1",1,0,0
"2.7.1.60","GNE",1,0,0
"3.2.1.183","GNE",1,0,0
"3.2.1.52","HEXA; HEXB",2,0,0
