"EC","Gene","total_genes","present_genes","percent"
"1.4.4.2","GLDC",1,1,100
"1.5.1.3","DHFR",1,1,100
"1.5.1.5","MTHFD1",1,1,100
"1.5.1.53","MTHFR",1,1,100
"1.8.1.4","DLD",1,1,100
"2.1.1.45","TYMS",1,1,100
"2.1.2.1","SHMT2",1,1,100
"2.1.2.10","AMT",1,1,100
"2.1.2.3","ATIC",1,1,100
"2.5.1.6","MAT1A; MAT2A",2,2,100
"3.13.2.1","AHCY",1,1,100
"3.5.4.10","ATIC",1,1,100
"3.5.4.9","MTHFD1",1,1,100
"4.2.1.22","CBS",1,1,100
"4.4.1.1","CTH",1,1,100
"6.3.3.2","MTHFS",1,1,100
"6.3.4.3","MTHFD1",1,1,100
"1.2.1.3","ALDH7A1",1,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.5.1.6","ALDH1L2",1,0,0
"1.5.8.3","SARDH",1,0,0
"1.5.8.4","DMGDH",1,0,0
"2.1.1.13","MTR",1,0,0
"2.1.1.20","GNMT",1,0,0
"2.1.2.5","FTCD",1,0,0
"4.3.1.4","FTCD",1,0,0
