"EC","Gene","total_genes","present_genes","percent"
"1.14.11.1","BBOX1",1,1,100
"1.14.11.8","TMLHE",1,1,100
"1.5.1.8","AASS",1,1,100
"1.5.1.9","AASS",1,1,100
"1.8.1.4","DLD",1,1,100
"2.3.1.61","DLST",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"2.3.1.9","ACAT1; ACAT2",2,1,50
"1.1.1.211","HADHA",1,0,0
"1.1.1.35","EHHADH; HADH",2,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.3.8.6","GCDH",1,0,0
"2.7.1.81","HYKK",1,0,0
"4.2.1.17","ECHS1; EHHADH; HADHA",3,0,0
"4.2.3.134","PHYKPL",1,0,0
"5.3.3.8","EHHADH",1,0,0
