"EC","Gene","total_genes","present_genes","percent"
"2.7.1.150","PIKFYVE",1,1,100
"2.7.1.67","PI4K2A; PI4KA",2,2,100
"2.7.1.68","PIP5K1C",1,1,100
"3.1.3.16","PTEN",1,1,100
"3.1.3.48","PTEN",1,1,100
"3.1.3.64","MTM1; MTMR2",2,2,100
"3.1.3.67","PTEN",1,1,100
"3.1.3.95","MTM1; MTMR2",2,2,100
"5.3.1.1","TPI1",1,1,100
"3.1.3.36","INPP5E; OCRL; SYNJ1",3,1,33.3333333333333
"3.1.4.11","PLCB1; PLCB3; PLCB4; PLCD1; PLCE1; PLCG2",6,1,16.6666666666667
"1.2.1.18","ALDH6A1",1,0,0
"1.2.1.27","ALDH6A1",1,0,0
"2.7.1.153","PIK3CA; PIK3CD",2,0,0
"2.7.1.154","PIK3C2A",1,0,0
"3.1.3.56","INPP5K",1,0,0
"3.1.3.86","INPPL1",1,0,0
