"EC","Gene","total_genes","present_genes","percent"
"1.3.3.6","ACOX1",1,1,100
"6.2.1.3","ACSL4",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"2.3.1.9","ACAT1; ACAT2",2,1,50
"2.3.1.21","CPT1A; CPT1C; CPT2",3,1,33.3333333333333
"1.1.1.211","HADHA",1,0,0
"1.1.1.35","EHHADH; HADH",2,0,0
"1.14.14.80","CYP2U1",1,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.3.8.1","ACADS",1,0,0
"1.3.8.5","ACADSB",1,0,0
"1.3.8.6","GCDH",1,0,0
"1.3.8.7","ACADM",1,0,0
"1.3.8.9","ACADVL",1,0,0
"2.3.1.16","HADHB",1,0,0
"4.2.1.17","ECHS1; EHHADH; HADHA",3,0,0
"5.3.3.8","EHHADH",1,0,0
