"EC","Gene","total_genes","present_genes","percent"
"1.1.1.205","IMPDH1; IMPDH2",2,2,100
"1.17.4.1","RRM1; RRM2B",2,2,100
"2.4.2.10","UMPS",1,1,100
"2.7.4.6","NME3",1,1,100
"3.5.2.2","DPYS",1,1,100
"3.6.1.23","DUT",1,1,100
"3.6.1.66","ITPA",1,1,100
"4.1.1.23","UMPS",1,1,100
"1.17.1.4","XDH",1,0,0
"1.17.3.2","XDH",1,0,0
"1.3.1.2","DPYD",1,0,0
"2.1.1.67","TPMT",1,0,0
"2.4.1.17","UGT1A1",1,0,0
"2.4.2.4","TYMP",1,0,0
"2.4.2.8","HPRT1",1,0,0
"2.7.1.21","TK2",1,0,0
"3.2.1.31","GUSB",1,0,0
"3.5.1.6","UPB1",1,0,0
