"EC","Gene","total_genes","present_genes","percent"
"1.1.1.363","G6PD",1,1,100
"1.1.1.49","G6PD",1,1,100
"1.2.4.1","PDHA1; PDHA2; PDHB",3,3,100
"1.3.5.1","SDHA; SDHB",2,2,100
"1.8.1.7","GSR",1,1,100
"2.3.1.21","CPT2",1,1,100
"2.4.1.11","GYS1; GYS2",2,2,100
"2.6.1.16","GFPT1",1,1,100
"2.7.11.2","PDK3",1,1,100
"3.1.3.16","PTEN",1,1,100
"3.1.3.48","PTEN",1,1,100
"3.1.3.67","PTEN",1,1,100
"3.4.23.5","CTSD",1,1,100
"7.1.1.8","UQCRFS1",1,1,100
"7.1.2.2","ATP5F1B",1,1,100
"2.7.1.153","PIK3CA; PIK3CD",2,0,0
"2.7.10.1","INSR",1,0,0
"2.7.11.1","AKT2",1,0,0
"3.1.4.11","PLCB1; PLCB3; PLCB4",3,0,0
"7.1.1.2","NDUFS1; NDUFS2; NDUFS3; NDUFS7; NDUFS8; NDUFV1; NDUFV2",7,0,0
