"EC","Gene","total_genes","present_genes","percent"
"1.3.3.6","ACOX1",1,1,100
"1.8.1.4","DLD",1,1,100
"2.6.1.19","ABAT",1,1,100
"2.6.1.22","ABAT",1,1,100
"3.1.2.4","HIBCH",1,1,100
"6.2.1.4","SUCLA2; SUCLG1",2,2,100
"6.2.1.5","SUCLA2; SUCLG1",2,2,100
"6.3.4.14","ACACA; ACACB",2,2,100
"6.4.1.2","ACACA; ACACB",2,2,100
"2.1.3.15","ACACA; ACACB; PCCB",3,2,66.6666666666667
"1.1.1.211","HADHA",1,0,0
"1.1.1.27","LDHA; LDHB",2,0,0
"1.1.1.35","EHHADH",1,0,0
"1.2.1.18","ALDH6A1",1,0,0
"1.2.1.27","ALDH6A1",1,0,0
"1.2.4.4","BCKDHA; BCKDHB",2,0,0
"1.3.8.1","ACADS",1,0,0
"2.3.1.168","DBT",1,0,0
"4.1.1.9","MLYCD",1,0,0
"4.2.1.17","ECHS1; EHHADH; HADHA",3,0,0
"5.1.99.1","MCEE",1,0,0
"5.3.3.8","EHHADH",1,0,0
"5.4.99.2","MMUT",1,0,0
"6.4.1.3","PCCA; PCCB",2,0,0
