"EC","Gene","total_genes","present_genes","percent"
"1.1.3.15","HAO1",1,1,100
"1.11.1.6","CAT",1,1,100
"1.4.4.2","GLDC",1,1,100
"1.8.1.4","DLD",1,1,100
"2.1.2.1","SHMT2",1,1,100
"2.1.2.10","AMT",1,1,100
"2.6.1.45","AGXT",1,1,100
"2.6.1.51","AGXT",1,1,100
"4.2.1.3","ACO2",1,1,100
"6.3.1.2","GLUL",1,1,100
"1.1.1.37","MDH1; MDH2",2,1,50
"2.3.1.9","ACAT1; ACAT2",2,1,50
"2.6.1.44","AGXT; AGXT2",2,1,50
"1.1.1.79","GRHPR",1,0,0
"1.1.1.81","GRHPR",1,0,0
"2.1.3.15","PCCB",1,0,0
"2.6.1.40","AGXT2",1,0,0
"2.7.1.165","GLYCTK",1,0,0
"4.1.3.16","HOGA1",1,0,0
"5.1.99.1","MCEE",1,0,0
"5.4.99.2","MMUT",1,0,0
"6.4.1.3","PCCA; PCCB",2,0,0
