"EC","Gene","total_genes","present_genes","percent"
"1.8.1.4","DLD",1,1,100
"2.3.3.10","HMGCS1; HMGCS2",2,2,100
"2.6.1.19","ABAT",1,1,100
"2.6.1.22","ABAT",1,1,100
"2.6.1.42","BCAT2",1,1,100
"3.1.2.4","HIBCH",1,1,100
"6.2.1.76","ACSF3",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"2.3.1.9","ACAT1; ACAT2",2,1,50
"1.1.1.178","HSD17B10",1,0,0
"1.1.1.211","HADHA",1,0,0
"1.1.1.31","HIBADH",1,0,0
"1.1.1.35","EHHADH; HADH; HSD17B10",3,0,0
"1.2.1.18","ALDH6A1",1,0,0
"1.2.1.27","ALDH6A1",1,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.2.4.4","BCKDHA; BCKDHB",2,0,0
"1.3.8.1","ACADS",1,0,0
"1.3.8.4","IVD",1,0,0
"1.3.8.5","ACADSB",1,0,0
"1.3.8.7","ACADM",1,0,0
"2.1.3.15","PCCB",1,0,0
"2.3.1.16","HADHB",1,0,0
"2.3.1.168","DBT",1,0,0
"2.6.1.40","AGXT2",1,0,0
"2.6.1.44","AGXT2",1,0,0
"2.8.3.5","OXCT1",1,0,0
"4.1.3.4","HMGCL",1,0,0
"4.2.1.17","ECHS1; EHHADH; HADHA",3,0,0
"4.2.1.18","AUH",1,0,0
"5.1.99.1","MCEE",1,0,0
"5.3.3.8","EHHADH",1,0,0
"5.4.99.2","MMUT",1,0,0
"6.4.1.3","PCCA; PCCB",2,0,0
"6.4.1.4","MCCC1; MCCC2",2,0,0
