"EC","Gene","total_genes","present_genes","percent"
"1.1.1.399","PHGDH",1,1,100
"1.1.1.95","PHGDH",1,1,100
"2.5.1.6","MAT1A; MAT2A",2,2,100
"2.6.1.1","GOT2",1,1,100
"2.6.1.42","BCAT2",1,1,100
"2.6.1.52","PSAT1",1,1,100
"2.8.1.1","MPST",1,1,100
"2.8.1.2","MPST",1,1,100
"3.13.2.1","AHCY",1,1,100
"4.2.1.22","CBS",1,1,100
"4.4.1.1","CTH",1,1,100
"6.3.2.2","GCLC",1,1,100
"6.3.2.3","GSS",1,1,100
"1.1.1.37","MDH1; MDH2",2,1,50
"2.4.2.28","LACC1; MTAP",2,1,50
"1.1.1.27","LDHA; LDHB",2,0,0
"2.1.1.13","MTR",1,0,0
"2.1.1.20","GNMT",1,0,0
"2.4.2.1","LACC1",1,0,0
"2.5.1.22","SMS",1,0,0
"2.6.1.40","AGXT2",1,0,0
"2.6.1.44","AGXT2",1,0,0
"2.6.1.5","TAT",1,0,0
"3.5.4.4","LACC1",1,0,0
