"EC","Gene","total_genes","present_genes","percent"
"1.3.3.6","ACOX1",1,1,100
"2.6.1.19","ABAT",1,1,100
"2.6.1.22","ABAT",1,1,100
"3.1.2.4","HIBCH",1,1,100
"3.4.13.20","CNDP1",1,1,100
"3.5.2.2","DPYS",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"1.1.1.211","HADHA",1,0,0
"1.1.1.35","EHHADH",1,0,0
"1.2.1.18","ALDH6A1",1,0,0
"1.2.1.27","ALDH6A1",1,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.3.1.2","DPYD",1,0,0
"1.3.8.1","ACADS",1,0,0
"3.5.1.6","UPB1",1,0,0
"4.1.1.15","GAD1",1,0,0
"4.1.1.9","MLYCD",1,0,0
"4.2.1.17","ECHS1; EHHADH; HADHA",3,0,0
"5.3.3.8","EHHADH",1,0,0
