"EC","Gene","total_genes","present_genes","percent"
"1.1.1.213","AKR1C2",1,1,100
"1.1.1.357","AKR1C2",1,1,100
"1.1.1.64","HSD17B3",1,1,100
"1.3.1.3","AKR1D1",1,1,100
"1.3.1.94","SRD5A3",1,1,100
"1.3.1.22","SRD5A2; SRD5A3",2,1,50
"1.1.1.145","HSD3B2",1,0,0
"1.1.1.146","HSD11B1",1,0,0
"1.14.14.14","CYP19A1",1,0,0
"1.14.14.16","CYP21A2",1,0,0
"1.14.14.19","CYP17A1",1,0,0
"1.14.14.23","CYP7A1",1,0,0
"1.14.14.29","CYP7B1",1,0,0
"1.14.14.32","CYP17A1",1,0,0
"1.14.15.4","CYP11B1; CYP11B2",2,0,0
"1.14.15.5","CYP11B2",1,0,0
"1.14.15.6","CYP11A1",1,0,0
"2.4.1.17","UGT1A1",1,0,0
"2.8.2.2","SULT2B1",1,0,0
"3.1.6.2","STS",1,0,0
"5.3.3.1","HSD3B2",1,0,0
