"EC","Gene","total_genes","present_genes","percent"
"1.17.4.1","RRM1; RRM2B",2,2,100
"1.3.5.2","DHODH",1,1,100
"2.1.1.45","TYMS",1,1,100
"2.1.3.2","CAD",1,1,100
"2.4.2.10","UMPS",1,1,100
"2.7.4.6","NME3",1,1,100
"2.7.4.9","DTYMK",1,1,100
"3.1.4.1","ENPP1",1,1,100
"3.5.2.2","DPYS",1,1,100
"3.5.2.3","CAD",1,1,100
"3.6.1.23","DUT",1,1,100
"3.6.1.9","ENPP1",1,1,100
"4.1.1.23","UMPS",1,1,100
"6.3.4.2","CTPS1",1,1,100
"6.3.5.5","CAD",1,1,100
"1.3.1.2","DPYD",1,0,0
"2.4.2.4","TYMP",1,0,0
"2.7.1.21","TK2",1,0,0
"2.7.4.14","CMPK2",1,0,0
"3.1.3.5","NT5E",1,0,0
"3.1.3.91","NT5C3A",1,0,0
"3.5.1.6","UPB1",1,0,0
"3.6.1.5","ENTPD1",1,0,0
"3.6.1.6","CANT1",1,0,0
