"EC","Gene","total_genes","present_genes","percent"
"1.2.1.24","ALDH5A1",1,1,100
"1.2.1.88","ALDH4A1",1,1,100
"1.4.1.3","GLUD1",1,1,100
"2.1.3.2","CAD",1,1,100
"2.6.1.1","GOT2",1,1,100
"2.6.1.16","GFPT1",1,1,100
"2.6.1.19","ABAT",1,1,100
"2.6.1.2","GPT2",1,1,100
"2.6.1.22","ABAT",1,1,100
"2.6.1.45","AGXT",1,1,100
"2.6.1.51","AGXT",1,1,100
"3.5.2.3","CAD",1,1,100
"4.3.2.1","ASL",1,1,100
"4.3.2.2","ADSL",1,1,100
"6.3.1.2","GLUL",1,1,100
"6.3.4.4","ADSS1",1,1,100
"6.3.4.5","ASS1",1,1,100
"6.3.5.4","ASNS",1,1,100
"6.3.5.5","CAD",1,1,100
"2.6.1.44","AGXT; AGXT2",2,1,50
"2.3.1.17","NAT8L",1,0,0
"2.6.1.40","AGXT2",1,0,0
"3.5.1.15","ASPA",1,0,0
"3.5.1.2","GLS",1,0,0
"4.1.1.15","GAD1",1,0,0
"6.3.4.16","CPS1",1,0,0
