"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"10","TITLE:Tight junction","roundrectangle",112,58,143,25,NA,NA,NA,NA
"100","LLGL2, HGL, Hugl-2, LGL2...","rectangle",421,303,46,17,NA,NA,NA,NA
"102","MPDZ, HYC2, MUPP1","rectangle",453,230,46,17,NA,NA,NA,NA
"104","MPP4, ALS2CR5, DLG6","rectangle",534,195,46,17,NA,NA,NA,NA
"108","MARVELD3, MARVD3, MRVLDC3","rectangle",172,500,46,17,NA,NA,NA,NA
"109","MARVELD2, DFNB49, MARVD2, MRVLDC2, Tric","rectangle",172,1145,46,17,NA,NA,NA,NA
"111","MAP3K1, MAPKKK1, MEKK, MEKK 1, MEKK1, SRXY6","rectangle",308,500,46,17,NA,NA,NA,NA
"112","MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c...","rectangle",421,500,46,17,NA,NA,NA,NA
"115","CLDN24, CLDN21...","rectangle",172,865,46,17,NA,NA,NA,NA
"116","PRKCI, DXS1179E, PKCI, nPKC-iota...","rectangle",308,917,46,17,NA,NA,NA,NA
"119","PRKAG2, AAKG, AAKG2, CMH6, H91620p, WPWS...","rectangle",534,917,46,17,"hsa:51422",NA,"PRKAG2",100
"12","STK11, LKB1, PJS, hLKB1","rectangle",421,917,46,17,NA,NA,NA,NA
"121","MYL2, CMH10, MFM12, MLC-2, MLC-2s/v, MLC-2v, MLC2","rectangle",647,917,46,17,NA,NA,NA,NA
"124","TJP1, ZO-1...","rectangle",308,1085,46,17,NA,NA,NA,NA
"125","AFDN, AF6, MLL-AF6, MLLT4, l-afadin","rectangle",308,1057,46,17,NA,NA,NA,NA
"126","RAPGEF2, CNrasGEF, NRAPGEP, PDZ-GEF1, PDZGEF1, RA-GEF, RA-GEF-1, RAGEF, Rap-GEP, nRap GEP","rectangle",421,1085,46,17,NA,NA,NA,NA
"127","RAP2C","rectangle",534,1085,46,17,NA,NA,NA,NA
"129","RHOA, ARH12, ARHA, EDFAOB, RHO12, RHOH12","rectangle",647,1085,46,17,NA,NA,NA,NA
"133","TJP1, ZO-1","rectangle",308,1113,46,17,NA,NA,NA,NA
"136","CDC42, CDC42Hs, G25K, TKS","rectangle",421,1145,46,17,NA,NA,NA,NA
"137","TUBA1B, K-ALPHA-1...","rectangle",308,1145,46,17,NA,NA,NA,NA
"141","WHAMM, WHAMM1, WHDC1...","rectangle",534,1145,46,17,NA,NA,NA,NA
"143","ARPC5, ARC16, IMD113, dJ127C7.3, p16-Arc...","rectangle",647,1127,46,17,NA,NA,NA,NA
"145","ACTB, BKRNS, BNS, BRWS1, CSMH, DDS1, PS1TP5BP1, THC8...","rectangle",647,1160,46,17,NA,NA,NA,NA
"149","NF2, ACN, BANF, SCH, SWNV, merlin-1","rectangle",534,232,46,17,NA,NA,NA,NA
"150","CDK4, CMM3, PSK-J3","rectangle",421,540,46,17,NA,NA,NA,NA
"155","ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN 19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)","rectangle",944,575,46,17,NA,NA,NA,NA
"156","PCNA, ATLD2","rectangle",944,538,46,17,NA,NA,NA,NA
