"EC","Gene","total_genes","present_genes","percent"
"1.1.1.8","GPD1",1,1,100
"2.3.1.43","LCAT",1,1,100
"2.3.1.51","AGPAT2",1,1,100
"2.3.1.6","CHAT",1,1,100
"2.7.1.32","CHKB",1,1,100
"2.7.1.82","CHKB",1,1,100
"2.7.7.14","PCYT2",1,1,100
"2.7.7.15","PCYT1A",1,1,100
"2.7.8.1","SELENOI",1,1,100
"3.1.1.5","PNPLA6",1,1,100
"3.1.3.4","LPIN1; LPIN2",2,2,100
"4.1.1.65","PISD",1,1,100
"3.1.1.4","PLA2G4A; PLA2G6",2,1,50
"2.3.1.42","GNPAT",1,0,0
"2.7.1.107","DGKE",1,0,0
"2.7.8.27","SGMS2",1,0,0
"2.7.8.48","SGMS2",1,0,0
"3.1.4.62","SGMS2",1,0,0
