"EC","Gene","total_genes","present_genes","percent"
"1.3.1.22","SRD5A3",1,1,100
"1.3.1.94","SRD5A3",1,1,100
"2.4.1.117","ALG5",1,1,100
"2.4.1.131","ALG11",1,1,100
"2.4.1.132","ALG2",1,1,100
"2.4.1.141","ALG13; ALG14",2,2,100
"2.4.1.142","ALG1",1,1,100
"2.4.1.256","ALG10",1,1,100
"2.4.1.257","ALG2",1,1,100
"2.4.1.258","ALG3",1,1,100
"2.4.1.259","ALG9",1,1,100
"2.4.1.260","ALG12",1,1,100
"2.4.1.261","ALG9",1,1,100
"2.4.1.265","ALG8",1,1,100
"2.4.1.267","ALG6",1,1,100
"2.4.1.83","DPM1",1,1,100
"2.4.99.18","STT3A; STT3B",2,2,100
"2.7.1.108","DOLK",1,1,100
"2.7.8.15","DPAGT1",1,1,100
"3.2.1.106","MOGS",1,1,100
"3.2.1.207","GANAB",1,1,100
"3.2.1.209","MAN1B1",1,1,100
"2.4.1.143","MGAT2",1,0,0
"2.4.1.22","B4GALT1",1,0,0
"2.4.1.38","B4GALT1",1,0,0
"2.4.1.68","FUT8",1,0,0
"2.4.1.90","B4GALT1",1,0,0
