"EC","Gene","total_genes","present_genes","percent"
"2.1.2.9","MTFMT",1,1,100
"6.1.1.1","YARS1; YARS2",2,2,100
"6.1.1.10","MARS1; MARS2",2,2,100
"6.1.1.11","SARS1; SARS2",2,2,100
"6.1.1.12","DARS1; DARS2",2,2,100
"6.1.1.14","GARS1",1,1,100
"6.1.1.15","EPRS1; PARS2",2,2,100
"6.1.1.17","EARS2; EPRS1",2,2,100
"6.1.1.18","QARS1",1,1,100
"6.1.1.2","WARS1; WARS2",2,2,100
"6.1.1.20","FARS2; FARSA; FARSB",3,3,100
"6.1.1.21","HARS1; HARS2",2,2,100
"6.1.1.22","NARS1; NARS2",2,2,100
"6.1.1.3","TARS1; TARS2",2,2,100
"6.1.1.4","LARS1; LARS2",2,2,100
"6.1.1.5","IARS1; IARS2",2,2,100
"6.1.1.6","KARS1",1,1,100
"6.1.1.7","AARS1; AARS2",2,2,100
"6.1.1.9","VARS1; VARS2",2,2,100
"6.3.5.6","GATB; GATC; QRSL1",3,2,66.6666666666667
"6.3.5.7","GATB; GATC; QRSL1",3,2,66.6666666666667
"6.1.1.16","CARS1; CARS2",2,1,50
"6.1.1.19","RARS1; RARS2",2,1,50
"2.9.1.2","SEPSECS",1,0,0
