"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"10","Adherens junction","roundrectangle",939,100,111,39,NA,NA,NA,NA
"11","SMAD3, HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3, hMAD-3, hSMAD3, mad3","rectangle",838,304,46,17,NA,NA,NA,NA
"13","TGF-beta signaling pathway","roundrectangle",949,406,102,38,NA,NA,NA,NA
"14","Cell cycle","roundrectangle",1113,269,34,88,NA,NA,NA,NA
"15","TITLE:Wnt signaling pathway","roundrectangle",147,58,214,25,NA,NA,NA,NA
"16","MAPK signaling pathway","roundrectangle",564,658,102,38,NA,NA,NA,NA
"165","BAMBI, NMA","rectangle",250,320,46,17,NA,NA,NA,NA
"167","K02306","rectangle",250,238,46,17,NA,NA,NA,NA
"169","SOST, CDD, DAND6, SOST1, VBCH","rectangle",183,304,46,17,NA,NA,NA,NA
"17","Focal adhesion","roundrectangle",676,551,104,38,NA,NA,NA,NA
"172","SERPINF1, EPC-1, OI12, OI6, PEDF, PIG35","rectangle",168,228,46,17,NA,NA,NA,NA
"175","INVS, INV, NPH2, NPHP2","rectangle",310,613,46,17,NA,NA,NA,NA
"176","NOTUM, hNOTUM","rectangle",120,203,46,17,NA,NA,NA,NA
"179","CCN4, WISP1, WISP1-OT1, WISP1-UT1, WISP1c, WISP1i, WISP1tc","rectangle",1024,280,46,17,NA,NA,NA,NA
"18","Ubiquitin mediated proteolysis","roundrectangle",755,427,109,40,NA,NA,NA,NA
"180","ROR1, NTRKR1, dJ537F10.1...","rectangle",250,656,46,17,NA,NA,NA,NA
"181","RYK, D3S3195, JTK5, JTK5A, RYK1","rectangle",250,677,46,17,NA,NA,NA,NA
"182","RYK, D3S3195, JTK5, JTK5A, RYK1","rectangle",250,781,46,17,NA,NA,NA,NA
"184","RNF43, RNF124, SSPCS, URCC","rectangle",250,178,46,17,NA,NA,NA,NA
