"EC","Gene","total_genes","present_genes","percent"
"1.1.1.41","IDH3A; IDH3B; IDH3G",3,3,100
"1.1.1.42","IDH1; IDH2",2,2,100
"1.2.4.1","PDHA1; PDHA2; PDHB",3,3,100
"1.2.4.2","OGDH; OGDHL",2,2,100
"1.3.5.1","SDHA; SDHB",2,2,100
"1.8.1.4","DLD",1,1,100
"2.3.1.12","DLAT",1,1,100
"2.3.1.61","DLST",1,1,100
"4.2.1.2","FH",1,1,100
"4.2.1.3","ACO2",1,1,100
"6.2.1.4","SUCLA2; SUCLG1",2,2,100
"6.2.1.5","SUCLA2; SUCLG1",2,2,100
"6.4.1.1","PC",1,1,100
"1.1.1.37","MDH1; MDH2",2,1,50
"4.1.1.32","PCK1; PCK2",2,0,0
