"EC","Gene","total_genes","present_genes","percent"
"2.3.1.20","DGAT1",1,1,100
"2.3.1.51","AGPAT2",1,1,100
"2.3.1.75","DGAT1",1,1,100
"2.3.1.76","DGAT1",1,1,100
"2.7.1.28","TKFC",1,1,100
"2.7.1.29","TKFC",1,1,100
"2.7.1.30","GK",1,1,100
"3.1.3.4","LPIN1; LPIN2",2,2,100
"4.6.1.15","TKFC",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"2.7.1.107","DGKE",1,0,0
"2.7.1.165","GLYCTK",1,0,0
"2.7.1.94","AGK",1,0,0
"3.1.1.3","LIPC; PNPLA2",2,0,0
"3.1.1.34","LPL",1,0,0
"3.2.1.22","GLA",1,0,0
