"EC","Gene","total_genes","present_genes","percent"
"2.3.1.297","CERS2; CERS3",2,2,100
"2.3.1.298","CERS3",1,1,100
"2.3.1.299","CERS1",1,1,100
"2.3.1.50","SPTLC1; SPTLC2",2,2,100
"3.1.3.16","PTEN",1,1,100
"3.1.3.48","PTEN",1,1,100
"3.1.3.67","PTEN",1,1,100
"3.1.4.12","SMPD1",1,1,100
"3.4.23.5","CTSD",1,1,100
"4.1.2.27","SGPL1",1,1,100
"1.14.18.5","DEGS1",1,0,0
"1.14.19.17","DEGS1",1,0,0
"2.7.1.153","PIK3CA; PIK3CD",2,0,0
"2.7.11.1","AKT2",1,0,0
"2.7.8.27","SGMS2",1,0,0
"2.7.8.48","SGMS2",1,0,0
"3.1.4.11","PLCB1; PLCB3; PLCB4",3,0,0
"3.1.4.62","SGMS2",1,0,0
"3.5.1.23","ASAH1",1,0,0
