"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"100","NMNAT2, C1orf15, PNAT2...","rectangle",935,221,46,17,"hsa:64802","2.7.7.1; 2.7.7.18","NMNAT1",100
"101","NMNAT2, C1orf15, PNAT2...","rectangle",935,200,46,17,"hsa:64802","2.7.7.1; 2.7.7.18","NMNAT1",100
"102","K18550...","rectangle",789,279,46,17,NA,NA,NA,NA
"103","NMRK2, ITGB1BP3, MIBP, NRK2...","rectangle",789,211,46,17,NA,NA,NA,NA
"105","PNP, NP, PRO1837, PUNP","rectangle",653,211,46,17,"hsa:4860","2.4.2.1","PNP",100
"107","NAMPT, 1110035O14Rik, PBEF, PBEF1, VF, VISFATIN","rectangle",722,159,46,17,NA,NA,NA,NA
"108","SARM1, HsTIR, MyD88-5, SAMD2, SARM, hSARM1...","rectangle",789,126,46,17,NA,NA,NA,NA
"109","K18153...","rectangle",789,107,46,17,NA,NA,NA,NA
"110","NNMT","rectangle",532,242,46,17,NA,NA,NA,NA
"111","NADK2, C5orf33, DECRD, MNADK, NADKD1...","rectangle",1086,180,46,17,"hsa:133686","2.7.1.23","NADK2",0
"112","K00322","rectangle",1114,158,46,17,NA,NA,NA,NA
"113","NNT, GCCD4","rectangle",1164,158,46,17,"hsa:23530","7.1.1.1","NNT",0
"117","AOX1, AO, AOH1","rectangle",420,203,46,17,NA,NA,NA,NA
"118","AOX1, AO, AOH1","rectangle",419,241,46,17,NA,NA,NA,NA
"133","K19818...","rectangle",151,409,46,17,NA,NA,NA,NA
"172","Tropane, piperidine and pyridine alkaloid biosynthesis","roundrectangle",361,310,166,34,NA,NA,NA,NA
"184","K15359...","rectangle",303,561,46,17,NA,NA,NA,NA
"188","K15357","rectangle",537,699,46,17,NA,NA,NA,NA
"189","SIRT2, SIR2, SIR2L, SIR2L2...","rectangle",789,145,46,17,NA,NA,NA,NA
"191","K01240","rectangle",653,387,46,17,NA,NA,NA,NA
"192","K01240","rectangle",653,268,46,17,NA,NA,NA,NA
"193","K18029...","rectangle",555,414,46,17,NA,NA,NA,NA
"194","BST1, CD157, cADPR2...","rectangle",893,87,46,17,NA,NA,NA,NA
"196","K19190","rectangle",364,801,46,17,NA,NA,NA,NA
"199","K19191","rectangle",247,700,46,17,NA,NA,NA,NA
"202","K20155","rectangle",247,638,46,17,NA,NA,NA,NA
"204","NT5C1B-RDH14, AIRP, NT5C1B, cN-IB, cN1B...","rectangle",789,258,46,17,"hsa:4907","3.1.3.5","NT5E",0
"205","NT5C1B-RDH14, AIRP, NT5C1B, cN-IB, cN1B...","rectangle",789,383,46,17,"hsa:4907","3.1.3.5","NT5E",0
"207","K20169","rectangle",199,390,46,17,NA,NA,NA,NA
"211","K20170","rectangle",303,426,46,17,NA,NA,NA,NA
"212","K20171...","rectangle",303,495,46,17,NA,NA,NA,NA
"215","K20158","rectangle",350,390,46,17,NA,NA,NA,NA
"216","K19700","rectangle",400,426,46,17,NA,NA,NA,NA
"220","Alanine, aspartate and glutamate metabolism","roundrectangle",399,699,72,34,NA,NA,NA,NA
"222","K00135","rectangle",346,657,46,17,NA,NA,NA,NA
"223","K08324","rectangle",346,638,46,17,NA,NA,NA,NA
