"EC","Gene","total_genes","present_genes","percent"
"1.17.99.3","ACOX2",1,1,100
"1.3.3.6","ACOX1",1,1,100
"2.3.3.10","HMGCS1; HMGCS2",2,2,100
"2.7.1.30","GK",1,1,100
"6.2.1.3","ACSL4",1,1,100
"6.2.1.7","SLC27A5",1,1,100
"2.3.1.21","CPT1A; CPT1C; CPT2",3,1,33.3333333333333
"1.1.1.35","EHHADH",1,0,0
"1.14.14.23","CYP7A1",1,0,0
"1.14.15.15","CYP27A1",1,0,0
"1.3.8.7","ACADM",1,0,0
"2.3.1.176","SCP2",1,0,0
"3.1.1.34","LPL",1,0,0
"4.1.1.32","PCK1; PCK2",2,0,0
"4.2.1.17","EHHADH",1,0,0
"5.3.3.8","EHHADH",1,0,0
