"EC","Gene","total_genes","present_genes","percent"
"1.1.1.42","IDH1; IDH2",2,2,100
"1.1.3.15","HAO1",1,1,100
"1.11.1.6","CAT",1,1,100
"1.17.99.3","ACOX2",1,1,100
"1.3.3.6","ACOX1",1,1,100
"2.3.1.7","CRAT",1,1,100
"2.3.2.27","PEX10; PEX2",2,2,100
"2.3.2.36","PEX2",1,1,100
"2.6.1.44","AGXT",1,1,100
"2.6.1.45","AGXT",1,1,100
"2.6.1.51","AGXT",1,1,100
"2.7.1.36","MVK",1,1,100
"4.2.1.107","HSD17B4",1,1,100
"4.2.1.119","HSD17B4",1,1,100
"6.2.1.3","ACSL4",1,1,100
"7.6.2.4","ABCD1; ABCD3",2,2,100
"1.1.1.35","EHHADH",1,0,0
"1.14.11.18","PHYH",1,0,0
"1.17.1.4","XDH",1,0,0
"1.17.3.2","XDH",1,0,0
"1.2.1.84","FAR1",1,0,0
"2.3.1.176","SCP2",1,0,0
"2.3.1.42","GNPAT",1,0,0
"2.3.1.65","BAAT",1,0,0
"2.5.1.26","AGPS",1,0,0
"2.7.4.2","PMVK",1,0,0
"3.1.2.2","BAAT",1,0,0
"3.1.2.27","BAAT",1,0,0
"4.1.1.9","MLYCD",1,0,0
"4.1.3.4","HMGCL",1,0,0
"4.2.1.17","EHHADH",1,0,0
"5.1.99.4","AMACR",1,0,0
"5.3.3.8","EHHADH",1,0,0
"7.6.2.8","ABCD4",1,0,0
