"EC","Gene","total_genes","present_genes","percent"
"1.14.14.18","HMOX1",1,1,100
"1.17.99.9","COX15",1,1,100
"1.3.3.15","PPOX",1,1,100
"1.3.3.3","CPOX",1,1,100
"1.3.3.4","PPOX",1,1,100
"2.3.1.37","ALAS2",1,1,100
"2.5.1.141","COX10",1,1,100
"2.5.1.61","HMBS",1,1,100
"4.1.1.37","UROD",1,1,100
"4.2.1.24","ALAD",1,1,100
"4.2.1.75","UROS",1,1,100
"4.4.1.17","HCCS",1,1,100
"4.98.1.1","FECH",1,1,100
"4.99.1.9","FECH",1,1,100
"6.1.1.15","EPRS1",1,1,100
"6.1.1.17","EARS2; EPRS1",2,2,100
"1.16.3.1","CP; FTH1; FXN; HEPHL1",4,1,25
"1.3.1.24","BLVRA",1,0,0
"2.4.1.17","UGT1A1",1,0,0
"2.5.1.17","MMAB",1,0,0
"3.2.1.31","GUSB",1,0,0
