"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"10","NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB...","rectangle",720,725,46,17,NA,NA,NA,NA
"11","NFKBIA, EDAID2, IKBA, MAD-3, NFKBI","rectangle",720,693,46,17,NA,NA,NA,NA
"12","CDKN1B, CDKN4, KIP1, MEN1B, MEN4, P27KIP1","rectangle",649,572,46,17,NA,NA,NA,NA
"13","PTEN, 10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, PTENgama, TEP1","rectangle",415,417,46,17,"hsa:5728","3.1.3.16; 3.1.3.48; 3.1.3.67","PTEN",100
"14","NKX3-1, BAPX2, NKX3, NKX3.1, NKX3A","rectangle",499,358,46,17,NA,NA,NA,NA
"15","KLK3, APS, KLK2A1, PSA, hK3","rectangle",1059,888,46,17,NA,NA,NA,NA
"16","BCL2, Bcl-2, PPP1R50","rectangle",1059,726,46,17,NA,NA,NA,NA
"162","PI3K-Akt signaling pathway","roundrectangle",589,417,104,34,NA,NA,NA,NA
"163","TMPRSS2, PRSS10","rectangle",941,415,46,17,NA,NA,NA,NA
"164","ERG, LMPHM14, erg-3, p55","rectangle",996,415,46,17,NA,NA,NA,NA
"165","TMPRSS2, PRSS10","rectangle",941,524,46,17,NA,NA,NA,NA
"166","ETV5, ERM","rectangle",996,524,46,17,NA,NA,NA,NA
"169","PLAU, ATF, BDPLT5, QPD, UPA, URK, u-PA","rectangle",1138,403,46,17,NA,NA,NA,NA
"17","CCND1, BCL1, D11S287E, PRAD1, U21B31","rectangle",1059,663,46,17,NA,NA,NA,NA
"170","MMP3, CHDS6, MMP-3, SL-1, STMY, STMY1, STR1...","rectangle",1138,425,46,17,NA,NA,NA,NA
"172","ZEB1, AREB6, BZP, DELTAEF1, FECD6, NIL2A, PPCD3, TCF8, ZFHEP, ZFHX1A","rectangle",1189,425,46,17,NA,NA,NA,NA
"173","IL1R2, CD121b, CDw121b, IL-1R-2, IL-1RT-2, IL-1RT2, IL1R2c, IL1RB","rectangle",1138,447,46,17,NA,NA,NA,NA
"174","SPINT1, HAI, HAI1, MANSC2","rectangle",1138,478,46,17,NA,NA,NA,NA
"179","PLAU, ATF, BDPLT5, QPD, UPA, URK, u-PA","rectangle",1138,516,46,17,NA,NA,NA,NA
"18","LEF1, ECTD1, ECTD17, LEF-1, TCF10, TCF1ALPHA, TCF7L3...","rectangle",922,662,46,17,NA,NA,NA,NA
"180","MMP9, CLG4B, GELB, MANDP2, MMP-9","rectangle",1138,538,46,17,NA,NA,NA,NA
"186","PLAT, T-PA, TPA","rectangle",1189,403,46,17,NA,NA,NA,NA
"19","CREBBP, CBP, KAT3A, MKHK1, RSTS, RSTS1...","rectangle",874,629,46,17,NA,NA,NA,NA
"192","Transcriptional misregulation in cancer","roundrectangle",962,467,141,34,NA,NA,NA,NA
"194","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","rectangle",327,714,46,17,"hsa:2911",NA,"GRM1",0
"195","SLC46A1, G21, HCP1, HsPCFT, PCFT, hPCFT","rectangle",327,787,46,17,"hsa:113235",NA,"SLC46A1",0
"196","SLC19A1, CHMD, FOLT, IFC-1, IFC1, IMD114, MEGAF, REFC, RFC, RFC1, RFT-1, hRFC, hSLC19A1","rectangle",327,809,46,17,"hsa:6573",NA,"SLC19A1",0
"197","FOLR1, FBP, FOLR, FRalpha, NCFTD...","rectangle",327,764,46,17,"hsa:2348",NA,"FOLR1",0
"202","Folate transport and metabolism","roundrectangle",451,787,104,34,NA,NA,NA,NA
"206","FOLH1, FGCP, FOLH, GCP2, GCPII, NAALAD1, PSM, PSMA, mGCP","rectangle",327,663,46,17,NA,NA,NA,NA
"208",NA,"rectangle",927,322,46,34,NA,NA,NA,NA
"209",NA,"rectangle",623,905,46,34,NA,NA,NA,NA
"210",NA,"rectangle",486,913,46,34,NA,NA,NA,NA
"23","AR, AIS, AR8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM","rectangle",486,905,46,17,"hsa:367",NA,"AR",0
"25","MDM2, ACTFS, HDMX, LSKB, hdm2","rectangle",649,603,46,17,NA,NA,NA,NA
"26","CDKN1A, CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1","rectangle",649,542,46,17,NA,NA,NA,NA
"27","FOXO1, FKH1, FKHR, FOXO1A","rectangle",649,511,46,17,NA,NA,NA,NA
"28","CDK2, CDKN2, p33(CDK2)","rectangle",927,314,46,17,NA,NA,NA,NA
"29","CTNNB1, CTNNB, EVR7, MRD19, NEDSDV, armadillo","rectangle",765,662,46,17,NA,NA,NA,NA
"30","E2F1, E2F-1, RBAP1, RBBP3, RBP3...","rectangle",1010,361,46,17,NA,NA,NA,NA
"31","HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras...","rectangle",401,714,46,17,NA,NA,NA,NA
"32","TP53, BCC7, BMFS5, LFS1, P53, TRP53","rectangle",956,601,46,17,NA,NA,NA,NA
