"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"100","CD3D, CD3-DELTA, CD3DELTA, IMD19, T3D","rectangle",390,245,46,17,NA,NA,NA,NA
"101","CD3E, CD3epsilon, IMD18, T3E, TCRE","rectangle",443,245,46,17,NA,NA,NA,NA
"102","DCLRE1C, A-SCID, DCLREC1C, RS-SCID, SCIDA, SNM1C","rectangle",338,222,46,17,NA,NA,NA,NA
"103","PTPRC, B220, CD45, CD45R, GP180, IMD105, L-CA, LCA, LY5, T200","rectangle",654,222,46,17,NA,NA,NA,NA
"104","CD8A, CD8, CD8alpha, IMD116, Leu2, p32","rectangle",944,76,46,17,NA,NA,NA,NA
"105","ZAP70, ADMIO2, IMD48, SRK, STCD, STD, TZK, ZAP-70","rectangle",969,100,46,17,NA,NA,NA,NA
"106","LCK, IMD22, LSK, YT16, p56lck, pp58lck","rectangle",996,76,46,17,NA,NA,NA,NA
"107","AIRE, AIRE1, APECED, APS1, APSI, PGA1","rectangle",874,222,46,17,NA,NA,NA,NA
"14","T cell receptor signaling pathway","roundrectangle",1182,189,113,34,NA,NA,NA,NA
"15","Hematopoietic cell lineage","roundrectangle",753,388,112,34,NA,NA,NA,NA
"150","102723407","rectangle",904,542,46,17,NA,NA,NA,NA
"151","RAG1, RAG-1, RNF74","rectangle",303,504,46,17,NA,NA,NA,NA
"152","RAG2, RAG-2","rectangle",356,504,46,17,NA,NA,NA,NA
"154","TAP2, ABC18, ABCB3, APT2, D6S217E, MHC1D2, PSF-2, PSF2, RING11","rectangle",996,45,46,17,NA,NA,NA,NA
"155","RFX5, MHC2D3, MHC2D5","rectangle",924,285,46,17,NA,NA,NA,NA
"156","RFXAP, MHC2D4","rectangle",977,285,46,17,NA,NA,NA,NA
"157","RFXANK, ANKRA1, BLS, F14150_1, MHC2D2, RFX-B","rectangle",924,307,46,17,NA,NA,NA,NA
"158","CIITA, C2TA, CIITAIV, MHC2D1, MHC2TA, NLRA","rectangle",977,307,46,17,NA,NA,NA,NA
"16","B cell receptor signaling pathway","roundrectangle",825,692,112,34,NA,NA,NA,NA
"17","TITLE:Primary immunodeficiency","roundrectangle",158,58,236,25,NA,NA,NA,NA
"186","102723407","rectangle",417,545,46,17,NA,NA,NA,NA
"187","102723407","rectangle",576,543,46,17,NA,NA,NA,NA
"196","ORAI1, CRACM1, IMD9, ORAT1, TAM2, TMEM142A","rectangle",1183,53,46,17,NA,NA,NA,NA
"197","ORAI1, CRACM1, IMD9, ORAT1, TAM2, TMEM142A","rectangle",1183,310,46,17,NA,NA,NA,NA
"28","TAP1, ABC17, ABCB2, APT1, D6S114E, MHC1D1, PSF-1, PSF1, RING4, TAP1*0102N, TAP1N","rectangle",944,45,46,17,NA,NA,NA,NA
"37","CD40, Bp50, CDW40, TNFRSF5, p50","rectangle",998,654,46,17,NA,NA,NA,NA
"38","CD40LG, CD154, CD40L, HIGM1, IGM, IMD3, T-BAM, TNFSF5, TRAP, gp39, hCD40L","rectangle",1051,654,46,17,NA,NA,NA,NA
"60","102723407","rectangle",741,542,46,17,NA,NA,NA,NA
"65","102723407","rectangle",949,590,46,17,NA,NA,NA,NA
"68","CD4, CD4mut, IMD79, Leu-3, OKT4D, T4","rectangle",783,129,46,17,NA,NA,NA,NA
"69","CD8A, CD8, CD8alpha, IMD116, Leu2, p32...","rectangle",783,213,46,17,NA,NA,NA,NA
"70","CD8A, CD8, CD8alpha, IMD116, Leu2, p32...","rectangle",1097,55,46,17,NA,NA,NA,NA
"71","CD4, CD4mut, IMD79, Leu-3, OKT4D, T4","rectangle",1096,229,46,17,NA,NA,NA,NA
"72","102723407","rectangle",1120,541,46,17,NA,NA,NA,NA
"73","IKBKG, AMCBX1, EDAID1, FIP-3, FIP3, Fip3p, IKK-gamma, IKKAP1, IKKG, IMD33, IP, IP1, IP2, IPD2, NEMO, SAIDX, ZC2HC9","rectangle",1025,521,46,17,NA,NA,NA,NA
"74","AICDA, AID, ARP2, CDA2, HEL-S-284, HIGM2","rectangle",1051,677,46,17,"hsa:57379","3.5.4.38","AICDA",0
"75","UNG, DGU, HIGM4, HIGM5, UDG, UNG1, UNG15, UNG2","rectangle",998,677,46,17,"hsa:7374","3.2.2.27","UNG",100
"84","102723407","rectangle",303,653,46,17,NA,NA,NA,NA
"85","CD79A, IGA, IGAlpha, MB-1, MB1","rectangle",303,678,46,17,NA,NA,NA,NA
"86","IGLL1, 14.1, AGM2, CD179b, IGL1, IGL5, IGLJ14.1, IGLL, IGO, IGVPB, VPREB2","rectangle",356,654,46,17,NA,NA,NA,NA
"87","BLNK, AGM4, BASH, BLNK-S, LY57, SLP-65, SLP65, bca","rectangle",356,678,46,17,NA,NA,NA,NA
"88","BTK, AGMX1, AT, ATK, BPK, IGHD3, IMD1, PSCTK1, XLA","rectangle",492,654,46,17,NA,NA,NA,NA
"90","ICOS, AILIM, CD278, CVID1","rectangle",1165,654,46,17,NA,NA,NA,NA
"91","TNFRSF13C, BAFF-R, BAFFR, BROMIX, CD268, CVID4, prolixin","rectangle",1217,654,46,17,NA,NA,NA,NA
"92","CD19, B4, CVID3","rectangle",1165,677,46,17,NA,NA,NA,NA
"93","TNFRSF13B, CD267, CVID, CVID2, IGAD2, RYZN, TACI, TNFRSF14B","rectangle",1217,677,46,17,NA,NA,NA,NA
"94","ADA, ADA1","rectangle",337,310,46,17,"hsa:100","3.5.4.4","ADA",100
"95","IL7R, CD127, CDW127, IL-7R-alpha, IL-7Ralpha, IL7RA, IL7Ralpha, ILRA, IMD104, lnc-IL7R, sIL-7R","rectangle",390,310,46,17,NA,NA,NA,NA
"96","IL2RG, CD132, CIDX, IL-2RG, IMD4, P64, SCIDX, SCIDX1","rectangle",337,339,46,17,NA,NA,NA,NA
"97","JAK3, JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK","rectangle",390,339,46,17,NA,NA,NA,NA
"98","RAG1, RAG-1, RNF74","rectangle",390,222,46,17,NA,NA,NA,NA
"99","RAG2, RAG-2","rectangle",443,222,46,17,NA,NA,NA,NA
