"EC","Gene","total_genes","present_genes","percent"
"1.2.1.41","ALDH18A1",1,1,100
"1.2.1.88","ALDH4A1",1,1,100
"1.5.1.2","PYCR1; PYCR2",2,2,100
"1.5.5.2","PRODH",1,1,100
"1.5.5.3","PRODH2",1,1,100
"2.1.1.2","GAMT",1,1,100
"2.6.1.1","GOT2",1,1,100
"2.6.1.13","OAT",1,1,100
"2.7.2.11","ALDH18A1",1,1,100
"3.4.13.20","CNDP1",1,1,100
"3.5.3.1","ARG1",1,1,100
"4.1.1.17","ODC1",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"1.4.3.4","MAOA",1,0,0
"2.1.4.1","GATM",1,0,0
"2.3.1.57","SAT1",1,0,0
"2.5.1.22","SMS",1,0,0
"4.1.3.16","HOGA1",1,0,0
