"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"103","Cysteine and methionine metabolism","roundrectangle",920,30,136,34,NA,NA,NA,NA
"104","K13923","rectangle",936,229,46,17,NA,NA,NA,NA
"105","ACADS, ACAD3, SCAD","rectangle",593,317,46,17,"hsa:35","1.3.8.1","ACADS",0
"108","K01720","rectangle",1041,485,46,17,NA,NA,NA,NA
"110","MMUT, MCM, MUT","rectangle",807,577,46,17,"hsa:4594","5.4.99.2","MMUT",0
"111","K01659...","rectangle",1041,393,46,17,NA,NA,NA,NA
"118","K01682...","rectangle",1041,576,46,17,NA,NA,NA,NA
"119","SUCLG2, G-SCS, GBETA, GTPSCS...","rectangle",865,630,46,17,"hsa:8802;hsa:8803","6.2.1.4; 6.2.1.5","SUCLA2; SUCLG1",100
"120","SUCLG2, G-SCS, GBETA, GTPSCS...","rectangle",865,609,46,17,"hsa:8802;hsa:8803","6.2.1.4; 6.2.1.5","SUCLA2; SUCLG1",100
"121","K03417...","rectangle",981,620,46,17,NA,NA,NA,NA
"130","Pyruvate metabolism","roundrectangle",91,161,122,25,NA,NA,NA,NA
"154","K13922","rectangle",638,409,46,17,NA,NA,NA,NA
"156","K00086","rectangle",612,521,46,17,NA,NA,NA,NA
"158","K13921","rectangle",662,521,46,17,NA,NA,NA,NA
"159","K01699...","rectangle",569,469,46,17,NA,NA,NA,NA
"16","ALDH6A1, MMSADHA, MMSDH","rectangle",159,325,46,17,"hsa:4329","1.2.1.18; 1.2.1.27","ALDH6A1",0
"165","Glycolysis / Gluconeogenesis","roundrectangle",201,581,68,25,NA,NA,NA,NA
"166","K01734","rectangle",340,581,46,17,NA,NA,NA,NA
"167","K00048","rectangle",501,521,46,17,NA,NA,NA,NA
"168","K00005","rectangle",445,592,46,17,NA,NA,NA,NA
"17","K03416...","rectangle",159,228,46,17,NA,NA,NA,NA
"173","K18471","rectangle",371,521,46,17,NA,NA,NA,NA
"177","K17741...","rectangle",445,571,46,17,NA,NA,NA,NA
"178","K00005","rectangle",442,468,46,17,NA,NA,NA,NA
"179","K08325","rectangle",421,521,46,17,NA,NA,NA,NA
"18","ACACA, ACAC, ACACAD, ACACalpha, ACC, ACC1, ACCA, ACCalpha, Acac1, hACC1...","rectangle",159,262,46,17,"hsa:31;hsa:32","2.1.3.15; 6.3.4.14; 6.4.1.2","ACACA; ACACB",100
"181","Citrate cycle (TCA cycle)","roundrectangle",808,673,73,25,NA,NA,NA,NA
"182","Pyruvate metabolism","roundrectangle",918,673,118,25,NA,NA,NA,NA
"185","Valine, leucine and isoleucine degradation","roundrectangle",882,496,75,34,NA,NA,NA,NA
"19","MLYCD, MCD","rectangle",159,195,46,17,"hsa:23417","4.1.1.9","MLYCD",0
"197","DLD, DLDD, DLDH, E3, GCSL, LAD, OGDC-E3, PHE3","rectangle",769,241,46,17,"hsa:1738","1.8.1.4","DLD",100
"198","BCKDHA, BCKDE1A, MSU, MSUD1, MSUD1A, OVD1A...","rectangle",806,209,46,17,"hsa:593;hsa:594","1.2.4.4","BCKDHA; BCKDHB",0
"199","BCKDHA, BCKDE1A, MSU, MSUD1, MSUD1A, OVD1A...","rectangle",806,138,46,17,"hsa:593;hsa:594","1.2.4.4","BCKDHA; BCKDHB",0
"20","K14468","rectangle",225,283,46,17,NA,NA,NA,NA
"200","DBT, BCATE2, BCKAD-E2, BCKADE2, BCKDH-E2, BCOADC-E2, E2, E2B","rectangle",806,275,46,17,"hsa:1629","2.3.1.168","DBT",0
"202","Glycine, serine and threonine metabolism","roundrectangle",925,65,146,25,NA,NA,NA,NA
"205","K19745","rectangle",593,360,46,17,NA,NA,NA,NA
"206","K20143","rectangle",593,381,46,17,NA,NA,NA,NA
"208","K20455","rectangle",1127,485,46,17,NA,NA,NA,NA
"210","K09788","rectangle",1089,533,46,17,NA,NA,NA,NA
"212","K22214","rectangle",691,560,46,17,NA,NA,NA,NA
