"EC","Gene","total_genes","present_genes","percent"
"1.1.1.102","KDSR",1,1,100
"2.3.1.297","CERS2; CERS3",2,2,100
"2.3.1.298","CERS3",1,1,100
"2.3.1.299","CERS1",1,1,100
"2.3.1.50","SPTLC1; SPTLC2",2,2,100
"4.1.2.27","SGPL1",1,1,100
"3.1.4.12","SMPD1; SMPD4",2,1,50
"1.14.18.5","DEGS1",1,0,0
"1.14.19.17","DEGS1",1,0,0
"2.4.1.80","UGCG",1,0,0
"2.4.1.92","B4GALNT1",1,0,0
"2.7.8.27","SGMS2",1,0,0
"2.7.8.48","SGMS2",1,0,0
"3.1.4.62","SGMS2",1,0,0
"3.1.6.8","ARSA",1,0,0
"3.2.1.18","NEU1",1,0,0
"3.2.1.22","GLA",1,0,0
"3.2.1.23","GLB1",1,0,0
"3.2.1.45","GBA2",1,0,0
"3.2.1.46","GALC",1,0,0
"3.2.1.52","HEXA; HEXB",2,0,0
"3.5.1.23","ASAH1",1,0,0
