"EC","Gene","total_genes","present_genes","percent"
"1.1.1.205","IMPDH1; IMPDH2",2,2,100
"1.17.4.1","RRM1; RRM2B",2,2,100
"2.1.2.3","ATIC",1,1,100
"2.4.2.7","APRT",1,1,100
"2.7.1.20","ADK",1,1,100
"2.7.1.25","PAPSS2",1,1,100
"2.7.4.6","NME3",1,1,100
"2.7.4.8","GUK1",1,1,100
"2.7.6.1","PRPS1",1,1,100
"2.7.7.4","PAPSS2",1,1,100
"3.1.4.1","ENPP1",1,1,100
"3.5.4.10","ATIC",1,1,100
"3.5.4.6","AMPD1; AMPD2; AMPD3",3,3,100
"3.6.1.11","PRUNE1",1,1,100
"3.6.1.66","ITPA",1,1,100
"3.6.1.9","ENPP1",1,1,100
"4.1.1.21","PAICS",1,1,100
"4.3.2.2","ADSL",1,1,100
"5.4.2.2","PGM1",1,1,100
"6.3.2.6","PAICS",1,1,100
"6.3.4.4","ADSS1",1,1,100
"6.3.5.3","PFAS",1,1,100
"2.4.2.1","LACC1; PNP",2,1,50
"2.7.4.3","AK1; AK2; AK7",3,1,33.3333333333333
"3.5.4.4","ADA; ADA2; LACC1",3,1,33.3333333333333
"1.17.1.4","XDH",1,0,0
"1.17.3.2","XDH",1,0,0
"2.4.2.28","LACC1",1,0,0
"2.4.2.8","HPRT1",1,0,0
"2.7.1.113","DGUOK",1,0,0
"3.1.3.5","NT5E",1,0,0
"3.6.1.5","ENTPD1",1,0,0
"3.6.1.6","CANT1",1,0,0
