"ENTREZID","percent"
"10056",100
"10352",100
"10667",100
"123263",0
"124454",100
"16",100
"1615",100
"2058",100
"2193",100
"23395",100
"23438",100
"25973",100
"2617",100
"283459",100
"3035",100
"3376",100
"3735",100
"4141",100
"4677",100
"51067",100
"51091",100
"51520",100
"5188",100
"54938",100
"55157",100
"55278",100
"55699",100
"57038",100
"57176",100
"57505",50
"5859",100
"5917",100
"6301",100
"6897",100
"7407",100
"7453",100
"79587",50
"79731",100
"80222",100
"833",100
"8565",100
"92935",100
