"EC","total_genes","present_genes","percent"
"1.1.1.34",1,1,100
"2.3.3.10",2,2,100
"2.5.1.87",2,2,100
"2.7.1.36",1,1,100
"2.7.4.2",1,1,100
"4.1.1.33",1,1,100
"2.3.1.9",2,1,50
"2.5.1.1",2,1,50
"2.5.1.10",2,1,50
"2.5.1.91",2,1,50
"2.5.1.29",1,0,0
