"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"10","ADCY1, AC1, DFNB44...","rectangle",489,117,46,17,NA,NA
"11","CGA, CG-ALPHA, FSHA, GPA1, GPHA1, GPHa, HCG, LHA, TSHA","rectangle",1040,310,46,17,NA,NA
"119","EGR1, AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225","rectangle",939,571,46,17,NA,NA
"12","LHB, CGB4, HH23, LSH-B, LSH-beta","rectangle",986,310,46,17,NA,NA
"120","cAMP signaling pathway","roundrectangle",615,84,115,34,NA,NA
"17","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","rectangle",352,283,46,17,"hsa:23236;hsa:5331;hsa:5332",100
"18","CDC42, CDC42Hs, G25K, TKS","rectangle",643,423,46,17,NA,NA
"21","ATF4, CREB-2, CREB2, TAXREB67, TXREB","rectangle",870,117,46,17,NA,NA
"22","CAMK2A, CAMKA, CaMKIINalpha, CaMKIIalpha, MRD53, MRT63...","rectangle",718,180,46,17,NA,NA
"23","MAP2K3, MAPKK3, MEK3, MKK3, PRKMK3, SAPKK-2, SAPKK2...","rectangle",645,262,46,17,NA,NA
"24","MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA...","rectangle",722,262,46,17,NA,NA
"25","MAP3K2, MEKK2, MEKK2B...","rectangle",570,262,46,17,NA,NA
"26","MAPK7, BMK1, ERK4, ERK5, PRKM7","rectangle",570,306,46,17,NA,NA
"27","PLA2G4B, HsT16992, cPLA2-beta...","rectangle",570,350,46,17,"hsa:5321",0
"28","ITPR1, ACV, CLA4, INSP3R1, IP3R, IP3R1, PPP1R94, SCA15, SCA16, SCA29...","rectangle",459,180,46,17,"hsa:3708;hsa:3709",100
"29","CALML6, CAGLP...","rectangle",623,180,46,17,NA,NA
"30","GNA11, FBH, FBH2, FHH2, GNA-11, HG1K, HHC2, HYPOC2...","rectangle",279,264,46,17,NA,NA
"31","MMP14, MMP-14, MMP-X1, MT-MMP, MT-MMP_1, MT1-MMP, MT1MMP, MTMMP1, WNCHRS","rectangle",191,425,46,17,NA,NA
