"EC","total_genes","present_genes","percent"
"1.3.5.1",2,2,100
"5.6.1.3",2,2,100
"7.1.1.2",7,7,100
"7.1.1.8",1,1,100
"7.1.2.2",1,1,100
"3.1.4.11",3,1,33.3333333333333
