"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"102","CXCL1, FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1...","rectangle",1109,367,46,17,NA,NA
"103","CCL2, GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF","rectangle",1163,390,46,17,NA,NA
"104","CCL7, FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7","rectangle",1217,390,46,17,NA,NA
"105","CCL20, CKb4, Exodus, LARC, MIP-3-alpha, MIP-3a, MIP3A, SCYA20, ST38","rectangle",1271,390,46,17,NA,NA
"106","DEFB4B, DEFB4P...","rectangle",1109,485,46,17,NA,NA
"107","MUC5AC, MUC5, TBM, leB, mucin...","rectangle",1163,485,46,17,NA,NA
"108","MMP9, CLG4B, GELB, MANDP2, MMP-9","rectangle",1217,544,46,17,NA,NA
"109","MMP13, CLG3, MANDP1, MDST, MMP-13","rectangle",1271,544,46,17,NA,NA
"110","IL4, BCGF-1, BCGF1, BSF-1, BSF1, IL-4","rectangle",1109,196,46,17,NA,NA
"111","IL5, EDF, IL-5, TRF","rectangle",1163,196,46,17,NA,NA
"112","IL13, IL-13, P600","rectangle",1217,196,46,17,NA,NA
"113","CCL17, A-152E5.3, ABCD-2, SCYA17, TARC","rectangle",1109,243,46,17,NA,NA
"115","Th17 cell differentiation","roundrectangle",157,481,126,34,NA,NA
"124","TBK1, AIARV, FTDALS4, IIAE8, NAK, T2K","rectangle",536,406,46,17,"hsa:29110",100
"126","TNFAIP3, A20, AIFBL1, AISBL, OTUD7C, TNFA1P2","rectangle",481,377,46,17,NA,NA
"128","ANAPC5, APC5","rectangle",497,360,46,17,NA,NA
"13","IKBKB, IKK-2, IKK-beta, IKK2, IKKB, IMD15, IMD15A, IMD15B, NFKBIKB","rectangle",785,379,46,17,NA,NA
"139","USP25, EIG19, USP21","rectangle",533,579,46,17,NA,NA
"14","MAP3K7, CSCF, FMD2, MEKK7, TAK1, TGF1a","rectangle",678,379,46,17,NA,NA
"144","CXCL8, GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8","rectangle",1271,367,46,17,NA,NA
"145","CSF2, CSF, GMCSF","rectangle",1163,449,46,17,NA,NA
"146","CCL11, SCYA11","rectangle",1163,243,46,17,NA,NA
"147","MMP1, CLG, CLGN","rectangle",1109,544,46,17,NA,NA
"148","MMP3, CHDS6, MMP-3, SL-1, STMY, STMY1, STR1","rectangle",1163,544,46,17,NA,NA
"149","LCN2, 24p3, MSFI, NGAL, p25","rectangle",1271,508,46,17,NA,NA
"15","CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16","rectangle",785,362,46,17,NA,NA
"150","PTGS2, COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2","rectangle",1217,426,46,17,NA,NA
"151","TNF, DIF, IMD127, TNF-alpha, TNFA, TNFSF2, TNLG1F","rectangle",1163,426,46,17,NA,NA
"152","CXCL1, FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1...","rectangle",1163,367,46,17,NA,NA
"153","CXCL6, CKA-3, GCP-2, GCP2, SCYB6...","rectangle",1217,367,46,17,NA,NA
"154","CXCL10, C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1","rectangle",1109,390,46,17,NA,NA
"155","CSF3, C17orf33, CSF3OS, GCSF, G-CSF","rectangle",1109,449,46,17,NA,NA
"157","S100A7A, NICE-2, NICE2, S100A15, S100A7L1, S100A7f...","rectangle",1109,508,46,17,NA,NA
"158","S100A8, 60B8AG, CAGA, CFAG, CGLA, CP-10, L1Ag, MA387, MIF, MRP8, NIF, P8, S100-A8","rectangle",1163,508,46,17,NA,NA
"159","S100A9, 60B8AG, CAGB, CFAG, CGLB, L1AG, LIAG, MAC387, MIF, MRP14, NIF, P14, S100-A9","rectangle",1217,508,46,17,NA,NA
