"EC","total_genes","present_genes","percent"
"1.3.1.22",1,1,100
"1.3.1.94",1,1,100
"2.4.1.117",1,1,100
"2.4.1.131",1,1,100
"2.4.1.132",1,1,100
"2.4.1.141",2,2,100
"2.4.1.142",1,1,100
"2.4.1.143",1,1,100
"2.4.1.22",1,1,100
"2.4.1.256",1,1,100
"2.4.1.257",1,1,100
"2.4.1.258",1,1,100
"2.4.1.259",1,1,100
"2.4.1.260",1,1,100
"2.4.1.261",1,1,100
"2.4.1.265",1,1,100
"2.4.1.267",1,1,100
"2.4.1.38",1,1,100
"2.4.1.68",1,1,100
"2.4.1.83",1,1,100
"2.4.1.90",1,1,100
"2.4.99.18",2,2,100
"2.7.1.108",1,1,100
"2.7.8.15",1,1,100
"3.2.1.106",1,1,100
"3.2.1.207",1,1,100
"3.2.1.209",1,1,100
