"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"100","HADHA, ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA","rectangle",293,582,46,17,"hsa:3030",100
"102","ACADL, ACAD4, LCAD","rectangle",293,404,46,17,NA,NA
"103","CYP2U1, P450TEC, SPG49, SPG56","rectangle",656,925,46,17,"hsa:113612",100
"104","K14338","rectangle",656,947,46,17,NA,NA
"105","ACAA2, DSAEC, T1...","rectangle",178,659,46,17,"hsa:3032",100
"106","EHHADH, ECHD, FRTS3, L-PBE, LBFP, LBP, MFE1, PBFE...","rectangle",118,582,46,17,"hsa:1962;hsa:3033",66.6666666666667
"107","ECHS1, ECHS1D, SCEH, mECH, mECH1...","rectangle",118,498,46,17,"hsa:1892;hsa:1962;hsa:3030",100
"108","ACADM, ACAD1, MCAD, MCADH","rectangle",118,404,46,17,"hsa:34",100
"109","ACSL1, ACS1, FACL1, FACL2, LACS, LACS1, LACS2...","rectangle",143,210,46,17,"hsa:2182",100
"110","HADHA, ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA","rectangle",168,582,46,17,"hsa:3030",100
"112","ACADL, ACAD4, LCAD","rectangle",168,404,46,17,NA,NA
"115","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",873,385,46,17,"hsa:51",100
"116","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",797,385,46,17,"hsa:51",100
"117","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",621,398,46,17,"hsa:51",100
"118","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",495,399,46,17,"hsa:51",100
"119","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",369,399,46,17,"hsa:51",100
"120","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",243,385,46,17,"hsa:51",100
"121","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","rectangle",118,385,46,17,"hsa:51",100
