"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"100","Alanine, aspartate and glutamate metabolism","roundrectangle",107,323,127,34,NA,NA
"101","Histidine metabolism","roundrectangle",686,789,77,34,NA,NA
"102","Phenylalanine, tyrosine and tryptophan biosynthesis","roundrectangle",691,925,154,34,NA,NA
"147","GATC, 15E1.2, COXPD42...","rectangle",338,245,46,17,"hsa:283459;hsa:5188;hsa:55278",100
"148","K09698","rectangle",271,217,46,17,NA,NA
"150","GATC, 15E1.2, COXPD42...","rectangle",337,548,46,17,"hsa:283459;hsa:5188;hsa:55278",100
"151","K09759","rectangle",271,518,46,17,NA,NA
"152","K06868","rectangle",337,1037,46,17,NA,NA
"153","K07587","rectangle",271,1011,46,17,NA,NA
"155","Glycine, serine and threonine metabolism","roundrectangle",106,826,126,34,NA,NA
"156","SARS2, SARS, SARSM, SERS, SYS, SerRS, SerRSmt, mtSerRS...","rectangle",271,930,46,17,"hsa:54938;hsa:6301",100
"160","PSTK, C10orf89","rectangle",383,929,46,17,NA,NA
"163","SEPSECS, LP, PCH2D, SLA, SLA-p35, SLA/LP, SecS","rectangle",480,930,46,17,"hsa:51091",100
"164","K01042","rectangle",435,893,46,17,NA,NA
"165","K11627","rectangle",875,523,46,17,NA,NA
"168","K09698","rectangle",271,167,46,17,NA,NA
"170","K09759","rectangle",271,469,46,17,NA,NA
"175","Lysine biosynthesis","roundrectangle",691,471,77,34,NA,NA
"179","TRE-CTC1-5, TRNAE5...","rectangle",228,120,46,17,NA,NA
"180","TRQ-CTG7-1, TRNAQ3...","rectangle",228,246,46,17,NA,NA
"181","TRA-AGC11-1, TRNAA2...","rectangle",228,333,46,17,NA,NA
"182","TRD-GTC2-5, TRNAD5...","rectangle",228,422,46,17,NA,NA
"183","TRS-CGA1-1, TRNAS6...","rectangle",228,814,46,17,NA,NA
"184","TRT-AGT1-3, TRNAT4...","rectangle",228,725,46,17,NA,NA
"185","TRN-GTT2-1, RNN, TRN, TRN1, TRNAN1...","rectangle",228,549,46,17,NA,NA
